sample_index,window_index,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
0,0,-8280,3860,-11308,8880,3076,-10236,-5844,-5052,2752,-4696,1200
0,1,-5024,3940,-10104,8036,4896,-6932,-4240,-3368,740,-4044,540
0,2,-8268,5120,-12280,10176,3060,-10208,-6688,-2928,3152,-7472,1116
0,3,-7272,7440,-14788,10528,4740,-10788,-6260,-2260,3032,-9316,1204
1,0,348,176,-932,620,1032,448,-12,-2520,-344,-724,2008
1,1,-1676,-1940,-2660,808,1324,1600,-476,-6456,-284,140,5008
1,2,744,260,-3484,1516,2284,652,-112,-5496,-72,-628,5364
1,3,-1512,-3108,-1584,32,1768,376,-124,-2652,-100,52,3004
2,0,-7372,-14832,14328,-1292,-8004,5720,10600,-16304,-7388,-11092,3256
2,1,-8012,-14372,14400,-1752,-8024,4604,9292,-17016,-7888,-10924,3024
2,2,-8004,-14936,14956,-2096,-8140,3844,9632,-17116,-8384,-11344,3280
2,3,-8220,-14532,14284,-1792,-7736,3544,9436,-16556,-8468,-10556,4028
3,0,-3032,-940,-5208,4092,1048,-4508,-2552,-4032,-304,712,1572
3,1,-3284,-400,-5376,4616,1508,-4780,-2564,-3772,-532,-524,1368
3,2,-3596,-376,-7632,5560,2704,-5224,-2768,-4332,-200,-320,1432
3,3,-3780,-1048,-7304,5224,1760,-5472,-2856,-4504,52,460,1536
4,0,-2956,-64,-5200,1428,3780,-3652,-2804,-4960,-792,-1360,2052
4,1,-3592,-2656,-4796,892,4084,-3036,-2568,-4392,184,-540,3364
4,2,-3372,-616,-6036,2252,4172,-3440,-2712,-4692,-552,-1292,1524
4,3,-4020,-1616,-6408,1408,4756,-4384,-3512,-5748,-404,-984,3020
5,0,-3484,-6656,-252,-1812,-860,2500,2952,-1944,-952,592,-180
5,1,-4864,-6648,848,-1952,-1916,2572,3332,-3952,-1392,-268,-600
5,2,-6260,-8108,2340,-2128,-3636,3316,4816,-6500,-2164,-540,-836
5,3,-3608,-6084,1180,-1124,-1924,2408,3036,-3196,-932,-260,-872
6,0,-932,-6200,-8908,8,-456,-1708,-2952,2508,904,436,-956
6,1,-684,-6092,-8512,-356,-836,-1528,-2840,2300,820,332,-1104
6,2,-792,-4700,-7640,-292,-864,-1688,-2536,2040,344,612,-1176
6,3,-884,-4164,-6668,-172,-1076,-2036,-2168,1796,276,776,-964
7,0,-2060,-6812,-6932,-996,200,-524,-1732,-2564,668,2216,2128
7,1,-2796,-8524,-8348,-1588,-692,-760,-2504,-3408,420,3600,2228
7,2,-872,-6312,-6964,-284,-24,-208,-1600,-2336,1108,1608,2144
7,3,-2824,-8488,-8496,-776,-708,-616,-2544,-3712,772,3040,1936
8,0,-4412,-9740,-6156,-1660,640,-896,-4868,-4660,-1040,5604,1660
8,1,-3232,-6164,-5028,-92,36,-3668,-4480,-4488,-1312,4812,1680
8,2,-3452,-8268,-8356,-656,-180,-4232,-7428,-5568,-948,6276,684
8,3,-4368,-9384,-7008,-572,820,-2472,-6404,-4496,-708,5360,720
9,0,-160,-4796,-6424,-428,-776,-1380,-2736,1060,344,1024,-984
9,1,392,-5264,-6572,-808,-1288,-1188,-2728,516,-152,488,-1548
9,2,-52,-5068,-6744,-732,-1444,-1320,-2656,720,232,664,-1460
9,3,-292,-5084,-6840,-596,-908,-1168,-2696,1024,476,1068,-880
10,0,-7708,-14080,10424,-1084,-6304,5572,7640,-14304,-7532,-7564,1340
10,1,-7076,-14460,13512,-1464,-7720,4520,9196,-16732,-8420,-11272,2804
10,2,-6872,-13864,12328,-888,-6892,5708,9352,-14552,-6988,-9592,2000
10,3,-6896,-15500,14260,-1428,-7356,5188,11552,-14472,-7568,-10816,4040
11,0,-3580,-2096,-5224,3908,664,-4244,-2608,-3988,36,1528,2092
11,1,-3200,-276,-6012,4340,1428,-4548,-2120,-3724,-420,-248,800
11,2,-3508,-1512,-6756,5296,2028,-5144,-2940,-3468,568,696,1828
11,3,-4696,-1860,-8800,5868,2112,-5564,-3296,-4784,444,992,1928
12,0,-3420,-904,-5916,1536,4256,-3496,-3056,-5276,-640,-132,2432
12,1,-4260,-1408,-7076,2116,4488,-4336,-3508,-5668,-784,176,2708
12,2,-3792,-2232,-5548,1156,3680,-3400,-2632,-4544,-56,260,3180
12,3,-2484,-304,-6904,2548,4652,-3868,-2792,-4508,-1060,-176,2136
13,0,-4044,-7012,-564,-1912,-1320,3712,1684,-4500,-816,832,680
13,1,-4288,-7060,-388,-1864,-1256,3552,2176,-4688,-1196,424,328
13,2,-4176,-7172,556,-1716,-800,3444,2208,-3660,-1328,256,-196
13,3,-4188,-6764,-444,-2000,-1472,2952,1656,-4068,-808,400,124
14,0,-3076,-5976,752,-1292,-1916,2140,2820,-2760,-756,-96,-588
14,1,-3300,-6248,852,-1144,-2100,2084,2852,-2600,-768,188,-640
14,2,-3156,-6336,800,-964,-2448,2136,3108,-2944,-752,-180,-776
14,3,-4512,-6608,-12,-2484,-3348,1976,3728,-5324,-1960,812,-144
15,0,-680,-4180,-5288,-504,-1052,-1252,-1156,2004,372,108,-416
15,1,-660,-5760,-8212,-256,-520,-1200,-2596,2800,808,604,-1052
15,2,-704,-3956,-6348,-496,-1188,-1540,-1948,1772,108,328,-944
