variant,sample_index,rtl_prediction,golden_prediction,match
unrepaired,0,6,6,1
unrepaired,1,14,14,1
unrepaired,2,6,6,1
unrepaired,3,4,4,1
unrepaired,4,6,6,1
unrepaired,5,5,5,1
unrepaired,6,15,15,1
unrepaired,7,2,2,1
unrepaired,8,15,15,1
unrepaired,9,6,6,1
unrepaired,10,6,6,1
unrepaired,11,15,15,1
unrepaired,12,19,19,1
unrepaired,13,6,6,1
unrepaired,14,2,2,1
unrepaired,15,15,15,1
unrepaired,16,2,2,1
unrepaired,17,6,6,1
unrepaired,18,6,6,1
unrepaired,19,15,15,1
unrepaired,20,6,6,1
unrepaired,21,15,15,1
unrepaired,22,15,15,1
unrepaired,23,14,14,1
unrepaired,24,6,6,1
unrepaired,25,6,6,1
unrepaired,26,4,4,1
unrepaired,27,5,5,1
unrepaired,28,6,6,1
unrepaired,29,15,15,1
unrepaired,30,6,6,1
unrepaired,31,15,15,1
unrepaired,32,18,18,1
unrepaired,33,15,15,1
unrepaired,34,2,2,1
unrepaired,35,1,1,1
unrepaired,36,19,19,1
unrepaired,37,15,15,1
unrepaired,38,6,6,1
unrepaired,39,2,2,1
unrepaired,40,6,6,1
unrepaired,41,2,2,1
unrepaired,42,2,2,1
unrepaired,43,6,6,1
unrepaired,44,15,15,1
unrepaired,45,2,2,1
unrepaired,46,6,6,1
unrepaired,47,15,15,1
unrepaired,48,2,2,1
unrepaired,49,15,15,1
unrepaired,50,2,2,1
unrepaired,51,6,6,1
unrepaired,52,2,2,1
unrepaired,53,6,6,1
unrepaired,54,15,15,1
unrepaired,55,2,2,1
unrepaired,56,15,15,1
unrepaired,57,6,6,1
unrepaired,58,6,6,1
unrepaired,59,2,2,1
unrepaired,60,15,15,1
unrepaired,61,6,6,1
unrepaired,62,15,15,1
unrepaired,63,6,6,1
unrepaired,64,10,10,1
unrepaired,65,2,2,1
unrepaired,66,15,15,1
unrepaired,67,19,19,1
unrepaired,68,2,2,1
unrepaired,69,6,6,1
unrepaired,70,15,15,1
unrepaired,71,15,15,1
unrepaired,72,15,15,1
unrepaired,73,15,15,1
unrepaired,74,2,2,1
unrepaired,75,15,15,1
unrepaired,76,15,15,1
unrepaired,77,15,15,1
unrepaired,78,6,6,1
unrepaired,79,15,15,1
unrepaired,80,14,14,1
unrepaired,81,15,15,1
unrepaired,82,15,15,1
unrepaired,83,15,15,1
unrepaired,84,10,10,1
unrepaired,85,2,2,1
unrepaired,86,18,18,1
unrepaired,87,2,2,1
unrepaired,88,6,6,1
unrepaired,89,6,6,1
unrepaired,90,6,6,1
unrepaired,91,15,15,1
unrepaired,92,18,18,1
unrepaired,93,15,15,1
unrepaired,94,2,2,1
unrepaired,95,14,14,1
unrepaired,96,15,15,1
unrepaired,97,5,5,1
unrepaired,98,15,15,1
unrepaired,99,6,6,1
unrepaired,100,15,15,1
