sample_index,window_index,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
0,0,-1424,1040,-1872,188,-352,-1728,-1492,-3368,-3404,-1192,92
0,1,-888,1212,-1316,48,-268,-1296,-1256,-2640,-2504,-956,280
0,2,-2044,1148,-1872,-44,-896,-2388,-2188,-4972,-6020,-3468,196
0,3,-2340,1456,-2008,-80,-1036,-2612,-2320,-5240,-6744,-3444,136
1,0,-168,-188,-176,-24,-48,-64,-88,-384,-64,28,-64
1,1,-308,-240,-624,-76,-136,-388,-184,-856,-36,456,-52
1,2,-308,-376,-376,36,-92,-184,-100,-692,72,196,-20
1,3,-780,-1300,132,-152,-308,-144,-360,-724,-268,324,-196
2,0,-4664,-5952,1916,-1676,-2472,1072,664,-3592,-1256,-1332,-1600
2,1,-5380,-6644,2248,-2264,-3076,1116,836,-4696,-1624,-1884,-2076
2,2,-4696,-5824,2124,-1784,-2536,772,788,-3976,-1424,-1864,-1684
2,3,-4356,-5404,2188,-1496,-2276,508,872,-3568,-1320,-1896,-1684
3,0,-368,-68,-1068,516,180,-1180,-1148,-1260,-172,456,196
3,1,-284,108,-972,488,196,-1136,-1220,-1280,-496,288,212
3,2,-624,176,-1488,560,72,-1532,-1384,-1960,-720,256,184
3,3,-612,48,-1440,556,112,-1592,-1356,-1760,-392,472,172
4,0,-132,348,-876,204,320,-1028,-772,-880,44,384,100
4,1,-212,-48,-928,304,472,-1112,-932,-948,336,596,220
4,2,-228,368,-1040,388,456,-1304,-1112,-1204,-296,368,60
4,3,-152,396,-1296,456,568,-1596,-1224,-1240,184,532,180
5,0,-1372,-2476,184,-936,-992,248,40,-1160,-848,512,-592
5,1,-1200,-2392,552,-884,-652,324,-56,-1036,-728,500,-496
5,2,-1320,-2580,556,-960,-640,320,-40,-1116,-712,452,-452
5,3,-1152,-2268,440,-860,-656,304,0,-1080,-716,464,-420
6,0,88,-272,-352,112,248,-372,-576,-248,-76,156,276
6,1,168,-220,-332,-84,120,-456,-580,-640,-288,116,384
6,2,156,-164,-244,4,200,-480,-668,-500,-288,180,376
6,3,136,-116,-312,128,228,-532,-740,-420,-156,104,336
7,0,-584,-956,76,44,76,-568,-868,-684,-108,468,8
7,1,-584,-984,-100,-16,-72,-520,-676,-816,-244,480,-44
7,2,-264,-1032,148,-224,240,-632,-1224,-892,-416,732,336
7,3,-376,-1188,-84,-252,-56,-684,-1132,-1212,-560,592,320
8,0,-988,-1444,-228,-100,-80,-784,-948,-1328,-148,784,-96
8,1,-908,-1124,-344,120,0,-1256,-1412,-1440,-100,736,28
8,2,-592,-880,-628,68,184,-1684,-1868,-1820,-236,868,300
8,3,-796,-1016,-444,184,284,-1612,-1716,-1488,-100,700,140
9,0,168,-16,-388,-232,-120,-504,-424,-1108,-576,-40,456
9,1,188,-116,-460,-260,-156,-392,-316,-936,-468,4,376
9,2,220,-156,-476,-268,-124,-404,-356,-892,-452,68,388
9,3,148,-72,-352,-280,-140,-324,-224,-928,-484,-32,352
10,0,-3688,-5180,1552,-1368,-2176,1188,516,-3084,-1196,-500,-1356
10,1,-3772,-5232,1676,-1464,-2188,896,612,-3228,-1144,-1648,-1280
10,2,-3676,-5160,1576,-1732,-2168,920,424,-3004,-1088,-1092,-1352
10,3,-3100,-4632,1852,-1424,-1896,528,492,-2812,-884,-1436,-1104
11,0,-592,-216,-1008,432,-64,-1184,-1072,-1472,-364,416,344
11,1,-252,304,-1140,424,176,-1196,-1076,-1208,-484,320,256
11,2,-436,-20,-956,492,84,-1260,-1164,-1456,-416,496,348
11,3,-752,-12,-1572,556,36,-1836,-1452,-1916,-368,548,256
12,0,-296,504,-1304,496,372,-1636,-1216,-1384,-72,500,132
12,1,-368,336,-1348,556,356,-1800,-1452,-1596,-384,324,48
12,2,-136,328,-992,488,328,-1392,-1112,-1016,-48,548,220
12,3,-148,600,-1308,484,384,-1556,-1152,-1280,-232,404,176
13,0,-1568,-2304,716,-840,-1076,332,-264,-1632,-1284,224,-476
13,1,-1684,-2468,576,-884,-1124,472,16,-1576,-1084,220,-536
13,2,-1560,-2560,800,-852,-936,464,-252,-1564,-1104,164,-580
13,3,-1520,-2316,556,-1028,-1036,420,-140,-1720,-1236,164,-420
14,0,-1284,-2368,172,-832,-908,380,156,-1108,-732,472,-532
14,1,-1264,-2288,404,-668,-776,336,32,-996,-680,408,-512
14,2,-1164,-2108,356,-712,-740,308,96,-928,-628,392,-456
14,3,-1380,-2420,468,-604,-780,176,-124,-1160,-788,412,-420
15,0,92,-32,-172,124,172,-464,-616,-416,-144,96,300
15,1,80,-40,-188,-8,52,-320,-376,-424,-228,36,244
15,2,80,-188,-332,76,168,-392,-532,-388,-156,100,296
15,3,132,-128,-348,32,140,-456,-592,-564,-168,68,332
16,0,-248,-268,-472,212,232,-860,-964,-760,120,464,188
16,1,-324,-476,-480,184,216,-804,-916,-864,40,496,220
16,2,-352,-568,-640,116,308,-892,-1084,-952,92,600,252
16,3,-504,-640,-628,108,296,-944,-1104,-876,200,628,112
17,0,-1628,-2164,-672,-332,-756,-1408,-1424,-2348,-416,1052,-492
17,1,-1324,-1764,-268,-152,-508,-1416,-1568,-1888,-612,820,-316
17,2,-1136,-1636,-620,-60,-340,-1412,-1524,-1912,-408,864,-108
17,3,-580,-800,-228,24,-136,-892,-1028,-1124,-356,536,-84
18,0,156,-40,-336,-220,-96,-276,-240,-772,-288,-64,268
18,1,120,-40,-304,-220,-132,-216,-120,-704,-300,-72,228
18,2,140,-12,-380,-260,-220,-404,-184,-1048,-588,-96,380
18,3,156,-40,-472,-340,-264,-420,-160,-1228,-648,-112,420
19,0,-280,-432,-224,-72,-160,-64,-48,-436,-64,140,-60
19,1,-544,-600,-564,-64,-216,-292,-196,-848,-76,420,-76
19,2,-400,-624,-136,-68,-156,-240,-256,-564,-208,288,-60
19,3,-436,-560,-320,24,-56,-500,-436,-668,-80,392,-72
20,0,-2412,-3304,964,-640,-1356,692,304,-1984,-944,-452,-744
