sample_index,window_index,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
0,0,-1084,2136,-2512,2000,416,-4728,-3252,-3640,-2532,-1592,552
0,1,-756,2032,-1496,1708,756,-3604,-2612,-2596,-2156,-1736,440
0,2,-1900,2692,-2000,2244,96,-3884,-3216,-2968,-3076,-2980,952
0,3,-2232,2588,-2212,1932,-412,-3452,-3136,-2740,-3164,-3312,1108
1,0,-28,140,-168,84,84,-532,-420,-336,-140,28,-56
1,1,-408,140,-640,-252,-56,-588,-344,-1000,-276,496,20
1,2,196,368,-908,208,320,-632,-396,-712,-24,260,260
1,3,-120,-184,-280,-8,80,-60,-36,-308,-4,200,88
2,0,-2364,-5192,4844,4,-3316,2080,3340,-5704,-3400,-5540,-292
2,1,-2440,-5168,5172,-144,-3496,1968,3340,-6212,-3772,-5940,-148
2,2,-2508,-5204,4880,-404,-3852,1472,3112,-6340,-4144,-5708,40
2,3,-2380,-4700,4308,-864,-3816,860,2640,-6052,-4200,-5456,184
3,0,-364,756,-964,812,316,-2516,-1996,-2096,-992,112,-4
3,1,-484,764,-1024,748,224,-2436,-1980,-2256,-1236,-72,116
3,2,-624,776,-940,888,184,-2540,-1960,-2396,-1280,68,80
3,3,-668,548,-1212,868,76,-2620,-1944,-2408,-1080,280,48
4,0,-204,1076,-680,364,720,-2164,-1744,-1776,-1012,-452,-140
4,1,-280,536,-840,308,436,-1676,-1404,-1656,-752,-60,-4
4,2,-436,836,-1164,612,520,-2324,-1776,-2068,-1088,-408,-48
4,3,-432,1008,-984,364,648,-2376,-1856,-2188,-1040,-368,-64
5,0,-1044,-1564,376,-684,-388,520,664,-872,-392,32,-388
5,1,-1020,-1388,392,-700,-348,552,676,-944,-440,-80,-320
5,2,-1104,-1780,968,-728,-864,744,820,-1568,-852,-344,-472
5,3,-704,-1372,376,-596,-396,460,624,-944,-388,-148,-340
6,0,-16,-112,-144,-40,0,-40,-20,40,-32,44,52
6,1,52,8,4,-64,-56,-144,-160,-216,-240,56,104
6,2,72,-140,-24,-80,-132,-208,-240,-328,-344,88,124
6,3,84,-136,-36,-128,-160,-304,-336,-440,-480,144,184
7,0,168,-640,-1928,-160,-124,-124,-388,-984,52,708,556
7,1,136,-744,-1988,-396,-356,-132,-412,-1328,-116,852,548
7,2,364,-404,-1528,-180,-92,-336,-788,-1504,-332,700,684
7,3,292,-692,-1704,-280,-312,-184,-732,-1676,-544,708,708
8,0,-12,-540,-1304,-312,-208,-764,-1016,-1576,-332,996,248
8,1,92,-32,-856,-480,-220,-1512,-1516,-1976,-636,1200,120
8,2,-92,-356,-1356,-748,-324,-1768,-1804,-2460,-840,1484,240
8,3,-408,-216,-912,-468,-116,-1312,-1232,-1652,-492,872,84
9,0,332,52,188,-256,-344,-536,-580,-1052,-1104,-4,376
9,1,252,-148,-176,-124,-228,-240,-136,-380,-408,-8,160
9,2,288,-88,-4,-164,-276,-360,-392,-708,-756,12,280
9,3,380,-8,96,-176,-296,-440,-536,-936,-972,-20,400
10,0,-1144,-4204,3688,344,-2088,1872,2480,-3356,-2316,-3940,-348
10,1,-2040,-5124,4680,-84,-3460,1500,2864,-5504,-3852,-5704,44
10,2,-1896,-4616,4088,320,-2564,1940,2792,-4300,-2824,-4760,-312
10,3,-2052,-4716,4020,-320,-2816,1300,2596,-4816,-3640,-5144,124
11,0,-408,540,-768,364,-148,-2076,-1852,-2536,-1276,408,280
11,1,-480,760,-984,860,180,-2412,-1824,-2204,-1208,68,52
11,2,-396,508,-880,560,108,-1712,-1456,-2016,-996,140,248
11,3,-848,440,-1328,796,4,-2324,-1812,-2624,-1076,352,276
12,0,-220,736,-1072,244,508,-1868,-1672,-2048,-796,-56,120
12,1,-440,692,-1320,432,400,-2132,-1760,-2268,-1028,-116,64
12,2,-208,408,-1344,228,308,-1580,-1416,-1836,-600,172,256
12,3,-188,636,-1468,536,388,-2180,-1720,-2036,-992,-200,248
13,0,-1036,-1216,328,-856,-696,760,592,-1104,-284,140,-144
13,1,-928,-1384,320,-656,-604,780,748,-924,-156,52,-220
13,2,-712,-1624,424,-376,-208,848,784,-612,-100,-220,-240
13,3,-944,-1332,404,-816,-656,764,736,-1084,-264,-180,-200
14,0,-888,-1376,432,-536,-488,556,672,-760,-268,-128,-396
14,1,-788,-1340,404,-440,-420,520,680,-688,-244,-144,-392
14,2,-584,-1304,500,-248,-604,592,772,-608,-136,-280,-436
14,3,-992,-1372,656,-760,-824,580,720,-1116,-496,-92,-424
15,0,4,-76,-60,-72,-44,-64,4,-28,-116,8,92
15,1,8,-152,-68,-56,-68,-48,12,-28,-100,-4,72
15,2,168,4,36,-144,-184,-228,-160,-416,-544,-64,216
15,3,112,24,72,-88,-112,-144,-152,-320,-368,-40,136
16,0,16,-840,-1724,-268,-364,300,-188,-1132,180,612,476
16,1,144,-704,-1652,-284,-352,300,-76,-1060,144,548,516
16,2,-12,-724,-1532,-340,-300,228,-92,-988,132,616,440
16,3,-68,-724,-1676,-492,-272,104,-228,-1164,32,692,548
17,0,-648,-1648,-1476,-884,-496,-552,-1476,-2532,-804,2152,296
17,1,-608,-1332,-1176,-864,-408,-360,-808,-1888,-660,1596,224
17,2,-584,-1552,-1204,-724,-600,-256,-1088,-1936,-672,1592,232
17,3,-144,-1204,-1336,-440,-396,-328,-812,-1468,-396,1208,240
18,0,168,72,96,-184,-208,-228,-132,-452,-620,-116,212
18,1,128,32,92,-116,-140,-168,-164,-376,-448,-60,160
18,2,476,104,120,-284,-360,-516,-520,-1068,-1204,-52,500
18,3,256,76,168,-292,-340,-384,-336,-800,-980,-104,328
19,0,44,88,-212,24,44,-200,-72,-196,-64,84,-8
19,1,-88,140,-416,84,72,-676,-540,-632,-232,176,-64
19,2,-20,44,4,20,-20,-272,-276,-328,-192,4,8
19,3,60,72,16,-40,-64,-320,-252,-352,-184,36,8
20,0,-620,-3192,2884,676,-1796,1460,1948,-2328,-1612,-3236,-420
20,1,-1024,-3792,3660,220,-2396,1216,2008,-3624,-2768,-4624,196
20,2,-912,-3808,3444,260,-2420,1008,1756,-3440,-2636,-4320,364
20,3,-1768,-4396,4296,24,-3008,1364,2452,-4888,-3328,-5228,172
21,0,-208,412,-948,488,408,-1564,-1260,-1308,-588,-108,96
21,1,-352,1220,-952,712,696,-2704,-1904,-2004,-1312,-500,-104
21,2,-368,844,-1048,220,668,-2224,-1724,-1912,-716,28,40
21,3,-348,836,-1040,808,636,-2264,-1772,-1804,-988,-428,12
22,0,-172,-136,-180,36,16,-132,-48,-28,28,-72,4
22,1,-64,-12,-56,8,-12,-136,-112,-160,-112,-64,36
22,2,16,-60,-40,12,-4,-24,-40,-20,-4,32,28
22,3,-28,-116,-92,-4,-28,-92,-64,-76,-68,-8,56
23,0,56,-276,-1640,-52,192,-468,-524,-1004,252,328,416
23,1,280,-256,-1304,-184,160,-32,-208,-648,360,276,368
23,2,128,-236,-1056,-364,128,-48,-120,-504,228,460,344
23,3,128,-520,-1532,-64,120,144,-100,-588,336,300,464
24,0,100,-192,-1212,-420,20,-700,-752,-1308,-144,972,324
24,1,128,-376,-840,-452,-228,-864,-1088,-1384,-460,992,148
24,2,-160,-880,-1208,-444,-348,-676,-1100,-1560,-536,1284,212
24,3,-156,-332,-364,-548,-356,-1032,-1088,-1464,-892,956,120
25,0,84,28,-44,-64,-112,-120,-76,-224,-204,32,100
25,1,0,0,0,0,0,0,0,0,0,0,0
25,2,20,-100,-120,20,-140,-80,60,-40,20,140,60
25,3,72,280,-356,280,60,-684,-304,-548,-392,-96,24
26,0,320,-1996,2284,-56,-1040,680,420,-1780,-1540,-1728,180
26,1,-848,-2632,4764,-252,-856,1472,1344,-3280,-2880,-5264,928
26,2,-1844,-3608,5672,-1056,-1308,2028,1848,-4184,-3576,-5944,228
26,3,-2176,-3384,4940,-1264,-1364,876,824,-3548,-3064,-4768,768
27,0,76,1228,188,800,736,-752,-660,-628,-1424,-1724,208
27,1,-92,1236,-164,1136,1064,-684,-496,-180,-1188,-1868,60
27,2,48,1312,264,952,1084,-436,-376,32,-1212,-2140,92
27,3,96,1376,412,904,1088,-368,-316,92,-1212,-2236,172
28,0,-292,-1696,1284,-168,-840,640,484,-920,-576,-496,-464
28,1,-924,-2520,1688,-556,-1028,968,876,-1520,-1116,-764,-576
28,2,-788,-2480,1896,-704,-1376,888,732,-1968,-1552,-888,-532
28,3,-700,-2572,2172,-360,-1324,1048,936,-1744,-1460,-1472,-516
29,0,-572,-2384,1432,-124,-860,948,808,-940,-612,-820,-640
29,1,-592,-2424,1084,-96,-852,612,544,-824,-552,-172,-676
29,2,-484,-2252,1156,-108,-960,448,372,-952,-716,-160,-612
29,3,-572,-2572,1456,-272,-932,644,528,-1224,-996,-496,-592
30,0,-8,-44,-140,-140,-28,-352,-364,-364,-328,204,184
30,1,164,-168,-44,40,-60,-328,-620,-560,-336,300,144
30,2,344,-296,-40,-72,-164,-544,-976,-1024,-816,312,340
30,3,72,-148,-28,-12,-120,-360,-580,-552,-384,332,68
31,0,192,-12,-8,-8,-124,-424,-576,-768,-624,16,292
31,1,160,-4,-72,28,-104,-568,-712,-892,-672,8,300
31,2,-12,-40,-140,-20,-68,-560,-644,-820,-560,-32,228
31,3,216,28,-48,-92,-128,-600,-748,-1012,-824,24,408
32,0,-88,2368,-772,-840,-1344,-3132,-3288,-5216,-5512,-2820,2180
32,1,-1192,3644,-3400,60,-992,-3152,-3364,-4644,-4224,-3992,2048
32,2,-1024,3312,-2668,-180,-1064,-3056,-3536,-4824,-4596,-3800,2172
32,3,-1188,3080,-3480,164,-1040,-2900,-3280,-3768,-3384,-3296,1628
33,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0,0,0,0,0
33,2,0,0,0,0,0,0,0,0,0,0,0
33,3,0,0,0,0,0,0,0,0,0,0,0
34,0,464,-1980,2752,-8,-1520,468,512,-2156,-1888,-2448,696
34,1,128,-2404,3412,-68,-1556,716,936,-2916,-2404,-3328,880
34,2,-936,-3396,4288,-568,-2096,980,1568,-4104,-3248,-4096,1064
34,3,8,-2560,3576,-432,-1552,628,772,-3200,-2868,-3032,1252
35,0,-160,392,-272,428,56,-1164,-928,-1024,-992,-448,124
35,1,-200,708,-304,740,436,-1376,-1008,-852,-1096,-860,88
35,2,-100,1068,12,784,756,-1048,-784,-496,-1332,-1664,136
35,3,36,1148,56,852,976,-728,-620,-216,-1208,-1768,44
36,0,-92,808,-300,664,664,-1128,-916,-660,-1016,-1048,-68
36,1,-128,1056,-400,972,904,-1340,-1072,-696,-1280,-1400,-156
36,2,-32,1192,-416,952,1044,-1328,-1080,-676,-1340,-1564,-232
36,3,-44,1124,-276,948,892,-1100,-816,-616,-1240,-1476,-88
37,0,8,-956,816,-8,-680,420,372,-600,-448,-468,-152
37,1,12,-956,1048,-400,-792,236,216,-1020,-1064,-864,92
37,2,-344,-1256,1228,-280,-804,576,556,-1080,-828,-1024,-96
37,3,-44,-720,824,-216,-372,396,324,-632,-496,-808,-76
38,0,-200,-716,568,-132,-504,272,296,-596,-452,-432,-156
38,1,-400,-1272,1036,-64,-636,704,772,-800,-512,-1044,-364
38,2,-76,-488,480,-32,-364,264,276,-448,-304,-528,-104
38,3,-304,-928,716,-352,-560,172,268,-904,-756,-368,-148
39,0,808,80,372,-956,-992,-1000,-1248,-2444,-2444,176,904
39,1,260,28,220,-784,-676,-136,-212,-1360,-1076,36,408
39,2,116,-88,-36,-300,-324,-60,-188,-724,-448,104,220
39,3,240,-40,-40,120,0,-240,-520,-480,-240,200,200
40,0,-84,3044,-3160,1564,1644,-3656,-2272,-3452,-2504,-1764,424
40,1,-148,3060,-3036,2008,1780,-3096,-2084,-3008,-2576,-2316,988
40,2,64,2524,-2728,1244,1360,-2956,-1576,-3148,-2452,-1448,668
40,3,68,3112,-2256,1828,1908,-2388,-1760,-2560,-2560,-2752,960
41,0,460,-16,-528,28,-144,-712,-860,-1156,-776,76,448
41,1,196,164,-760,280,-16,-1152,-980,-1396,-796,12,172
41,2,356,372,-668,112,-40,-1536,-1284,-1616,-988,4,328
41,3,336,-172,-1492,460,80,-1156,-1192,-1548,-564,428,600
42,0,-1048,-1320,200,-548,-712,500,516,-1360,-332,92,-128
42,1,-840,-1076,-652,-828,-852,808,708,-1648,-156,-124,184
42,2,-1676,-1064,-480,-1348,-916,664,392,-2028,-552,372,112
42,3,-1552,-1976,-580,-1316,-1020,928,300,-2168,-380,672,-28
43,0,100,60,-44,0,-32,-168,-48,-72,104,80,-24
43,1,276,44,40,0,-292,-216,-132,-28,204,188,-128
43,2,184,-52,-4,-20,-216,-132,-72,20,112,124,-84
43,3,68,-148,-48,0,-140,-24,-12,92,100,84,-32
44,0,-292,-1736,-1628,-484,-688,44,-952,-1972,-96,1632,296
44,1,96,-464,-960,-324,-476,76,24,-880,-160,616,340
44,2,-40,-360,-612,-504,-408,-272,-400,-1016,-480,436,192
44,3,252,-660,-1104,-132,-312,-412,-452,-1104,-416,616,472
45,0,236,-280,-376,-52,8,-184,-88,-36,252,112,16
45,1,284,284,-16,0,-92,-424,-156,-244,220,180,-88
45,2,312,-140,-412,-16,12,-308,-124,-160,268,184,0
45,3,376,-312,-524,-204,60,-232,-160,-144,372,208,100
46,0,80,3056,-3216,1528,1744,-2996,-1608,-3084,-2552,-2072,972
46,1,-672,2904,-3204,1632,1640,-2768,-1548,-3144,-2428,-1592,660
46,2,-504,2940,-2676,1524,1680,-2492,-1448,-2724,-2084,-1692,404
46,3,-100,3444,-3212,1672,1968,-3128,-1828,-3220,-2668,-2496,636
47,0,-2280,336,-780,-1064,-1796,-1668,-908,-4140,-1636,1552,312
47,1,-1840,-64,-736,-1164,-1724,-1356,-600,-3772,-1572,1604,368
47,2,-1680,-428,-440,-1200,-1576,-796,-292,-3324,-1340,1388,224
