sample_index,window_index,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
0,0,-7588,-508,-7604,2804,-1040,-9760,-8600,-18616,-21980,-14624,-2612
0,1,-4356,1116,-5840,2076,240,-7520,-6684,-14356,-16624,-12244,-3244
0,2,-8304,296,-8400,2564,-2212,-11208,-9184,-20008,-24004,-18784,-2552
0,3,-9100,2204,-9156,2108,-2816,-11896,-9876,-20612,-25044,-20012,-2700
1,0,-368,-140,-248,168,284,-12,-80,-1748,-488,-1244,980
1,1,-2680,-2836,-1128,132,988,560,128,-4360,-304,-1148,3160
1,2,-1088,-1532,-484,124,1224,656,-124,-2880,488,-1380,3156
1,3,-2384,-4588,-1192,-132,464,360,492,-2612,1072,-176,2672
2,0,-8116,-10760,6868,-2376,-4552,128,4704,-10740,-3808,-7744,-2416
2,1,-9168,-11436,8052,-2672,-5680,-464,5268,-13128,-4332,-9152,-3040
2,2,-7672,-10220,8484,-516,-4564,-924,5896,-13000,-4780,-11136,-3272
2,3,-8064,-8528,8720,56,-4100,-2608,5864,-13432,-6184,-11296,-3340
3,0,-2680,-2808,-3288,3048,-448,-3724,-3580,-7148,-3884,-5472,376
3,1,-2724,-2500,-3348,3300,-556,-4176,-3644,-7456,-4592,-6648,-108
3,2,-2824,-2056,-4432,3160,20,-5204,-4036,-8916,-5944,-6544,-924
3,3,-3172,-2364,-4380,3028,-192,-4916,-4004,-8896,-5820,-6340,-468
4,0,-2984,164,-4532,-144,4260,-4912,-2860,-5928,-3416,-4868,268
4,1,-2788,-2432,-3908,-208,4056,-2592,-2048,-4116,-748,-2584,1812
4,2,-2468,-456,-4476,416,3324,-4164,-3116,-6228,-4360,-4412,-472
4,3,-3520,-1400,-5224,-880,5244,-4436,-3016,-6060,-2528,-4160,1308
5,0,-3572,-6372,-1564,-3112,-2268,1220,2888,-4672,-1352,-1268,-4
5,1,-3012,-6276,-1340,-2948,-1984,1332,3344,-4868,-1480,-1644,416
5,2,-3356,-6896,-344,-3644,-2536,1252,3232,-5256,-1188,-1664,496
5,3,-2164,-5008,-712,-2868,-1952,1240,2856,-4080,-1600,-1680,-180
6,0,-320,-6608,-7816,-1772,-1544,-580,-328,1824,1112,716,-768
