sample_index,window_index,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
0,0,-3664,4364,-6580,2568,1168,-7832,-8440,-12732,-9532,-6912,-1340
0,1,-3608,2332,-5496,2752,1672,-6080,-6880,-9280,-7620,-4852,-940
0,2,-3940,4300,-9156,2268,-996,-7280,-8792,-11888,-10736,-6524,-2880
0,3,-3640,5652,-10128,2432,-1044,-6520,-8908,-11216,-11460,-7224,-4140
1,0,-440,-420,-32,352,-272,56,160,-2452,-500,-12,680
1,1,-1976,-1608,-3168,244,388,8,-764,-5208,-596,476,2140
1,2,-2108,-1276,-1372,1252,-356,88,-716,-6360,-1152,140,1792
1,3,-2368,-4032,-2484,-628,-360,-1084,-1072,-3704,-196,1112,1236
2,0,-6548,-8920,5524,-1356,-5908,2188,3660,-11780,-6292,-8068,-928
2,1,-6040,-8788,5448,-1248,-5692,1884,3352,-11388,-6820,-8656,-484
2,2,-5584,-8248,4552,-1000,-5700,832,3052,-10448,-6436,-7744,-960
2,3,-4660,-6848,4512,-304,-5084,-80,2200,-9560,-6592,-6820,-324
3,0,-2952,-1056,-3892,3640,1544,-3232,-3400,-6040,-1804,-1756,1488
3,1,-3468,-924,-3684,4144,1612,-3144,-3524,-5784,-2340,-2236,1112
3,2,-2908,-1072,-4380,3936,1896,-3680,-3884,-6268,-2464,-1960,884
3,3,-3292,-1356,-4332,4072,1776,-3972,-4184,-6944,-2380,-1656,1008
4,0,-1656,544,-4424,-20,4168,-2360,-3076,-5972,-1624,-2420,972
4,1,-2192,-2304,-5356,-228,3020,-1848,-2704,-4640,-408,-912,1388
4,2,-1744,-480,-4116,860,3764,-2664,-3128,-5832,-2488,-2660,732
4,3,-2456,-1036,-5504,180,4128,-2480,-3400,-5840,-1168,-2196,1548
5,0,-2956,-4476,-248,-1864,-2780,808,1744,-3748,-1584,-648,-476
5,1,-2760,-5332,-496,-1956,-2604,456,1696,-3924,-1552,-680,-228
5,2,-3572,-6564,180,-2516,-3788,852,2300,-5332,-2340,-1124,-644
5,3,-1860,-4304,-496,-1652,-2716,752,2092,-2884,-1428,-1144,-868
6,0,400,-5736,-5796,-872,-1136,-620,-380,1628,1092,-864,140
